SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits
30,1,118,181,0.845303867
48,2,75,396,1.320707071
31,3,46,418,1.770334928
3,4,94,421,1.988123515
2,5,12,393,2.239185751
49,6,95,413,2.322033898
11,7,39,382,2.314136126
35,8,54,408,2.460784314
35,9,105,424,2.45754717
49,10,78,409,2.381418093
23,11,75,423,2.638297872
20,12,101,432,2.858796296
32,13,87,401,2.97755611
14,14,19,412,3.109223301
28,15,79,406,2.714285714
34,16,41,397,3.201511335
44,17,99,404,3.071782178
3,18,42,387,3.121447028
29,19,75,421,3.073634204
9,20,65,394,3.408629442
24,21,24,420,3.330952381
25,22,44,426,3.316901408
4,23,80,411,3.435523114
22,24,109,425,3.435294118
48,25,110,410,3.424390244
35,26,51,415,3.571084337
18,27,59,398,3.5
31,28,39,383,3.950391645
13,29,51,379,4.197889182
41,30,47,211,4.246445498
