SSBounds,HEALTH,FIRE_RATE,count(ENEMY_ID),hits,hit_count
22,24,6.0,18,3.72222222222222,67
14,24,7.0,17,4.29411764705882,73
36,2,8.0,12,3.66666666666667,44
43,19,9.0,12,5.0,60
32,1,10.0,20,3.75,75
2,16,11.0,14,5.71428571428571,80
25,20,12.0,7,2.57142857142857,18
43,19,13.0,12,3.16666666666667,38
31,10,14.0,11,3.90909090909091,43
16,12,15.0,13,3.07692307692308,40
15,2,16.0,14,5.78571428571429,81
33,22,17.0,18,3.44444444444444,62
31,21,18.0,11,3.90909090909091,43
27,11,19.0,9,4.66666666666667,42
25,28,20.0,11,4.63636363636364,51
7,13,21.0,21,5.19047619047619,109
21,22,22.0,13,5.53846153846154,72
21,26,23.0,15,4.33333333333333,65
21,27,24.0,15,4.6,69
37,14,25.0,8,4.625,37
3,23,26.0,11,4.09090909090909,45
18,2,27.0,19,3.47368421052632,66
49,10,28.0,12,3.25,39
45,15,29.0,13,3.46153846153846,45
17,8,30.0,9,3.11111111111111,28
16,29,31.0,8,2.125,17
20,2,32.0,10,2.4,24
27,25,33.0,13,2.69230769230769,35
41,5,34.0,10,3.4,34
45,22,35.0,11,2.36363636363636,26
3,4,36.0,10,3.0,30
32,11,37.0,22,2.45454545454545,54
31,14,38.0,13,2.53846153846154,33
40,20,39.0,16,2.6875,43
26,3,40.0,12,2.16666666666667,26
1,17,41.0,7,2.14285714285714,15
40,20,42.0,10,1.2,12
26,29,43.0,12,1.41666666666667,17
10,5,44.0,11,2.0,22
15,5,45.0,11,1.81818181818182,20
24,1,46.0,13,2.69230769230769,35
8,11,47.0,9,1.55555555555556,14
12,10,48.0,12,1.5,18
28,19,49.0,12,1.75,21
10,5,50.0,25,1.24,31
36,22,51.0,13,3.15384615384615,41
13,16,52.0,14,1.5,21
13,5,53.0,16,1.875,30
24,19,54.0,13,1.07692307692308,14
20,3,55.0,17,1.35294117647059,23
12,6,56.0,12,1.33333333333333,16
27,25,57.0,13,2.30769230769231,30
27,18,58.0,13,1.23076923076923,16
49,11,59.0,10,1.5,15
42,11,60.0,14,1.0,14
40,10,61.0,21,2.0952380952381,44
16,3,62.0,14,1.42857142857143,20
45,25,63.0,12,1.58333333333333,19
44,27,64.0,14,1.35714285714286,19
32,21,65.0,11,1.54545454545455,17
29,6,66.0,14,1.14285714285714,16
29,10,67.0,6,1.66666666666667,10
17,2,68.0,13,1.53846153846154,20
23,18,69.0,13,1.23076923076923,16
45,6,70.0,16,0.9375,15
4,3,71.0,10,1.5,15
16,18,72.0,19,1.31578947368421,25
32,4,73.0,16,1.4375,23
18,13,74.0,8,1.875,15
31,2,75.0,8,0.875,7
24,13,76.0,14,0.785714285714286,11
2,13,77.0,20,1.15,23
17,26,78.0,11,1.0,11
2,4,79.0,15,0.933333333333333,14
11,1,80.0,10,0.9,9
42,21,81.0,15,1.26666666666667,19
2,15,82.0,8,1.625,13
28,19,83.0,12,1.0,12
17,21,84.0,11,1.0,11
42,13,85.0,14,1.07142857142857,15
32,4,86.0,20,1.3,26
8,29,87.0,12,0.75,9
10,22,88.0,20,1.4,28
14,25,89.0,10,0.9,9
49,22,90.0,15,0.8,12
1,21,91.0,20,1.05,21
10,23,92.0,9,1.11111111111111,10
45,8,93.0,10,1.0,10
7,29,94.0,13,1.61538461538462,21
23,13,95.0,9,1.22222222222222,11
2,7,96.0,11,1.45454545454545,16
19,6,97.0,10,0.8,8
47,18,98.0,19,1.0,19
24,10,99.0,15,0.6,9
33,12,100.0,16,0.8125,13
40,7,101.0,18,1.0,18
19,7,102.0,12,0.916666666666667,11
35,23,103.0,10,1.0,10
17,27,104.0,10,1.1,11
41,17,105.0,11,1.0,11
50,5,106.0,11,1.0,11
11,8,107.0,12,0.75,9
41,7,108.0,11,1.27272727272727,14
26,18,109.0,10,0.8,8
44,6,110.0,15,1.0,15
35,11,111.0,10,0.4,4
10,13,112.0,16,1.125,18
6,9,113.0,18,1.05555555555556,19
19,21,114.0,10,1.0,10
43,15,115.0,14,0.357142857142857,5
25,24,116.0,10,0.3,3
27,22,117.0,16,1.375,22
29,10,118.0,18,0.555555555555556,10
11,17,119.0,13,0.384615384615385,5
46,19,120.0,4,0.75,3
